ID,Name,equipId,value,mtrlId,eventFlag_forStock,eventFlag_forRelease,sellQuantity,pad3,equipType,costType,pad1,setNum,value_Add,value_Magnification,iconId,nameMsgId,menuTitleMsgId,menuIconId,pad2
9100046,[Vigil - Weapons] Dark Moon Greatsword,3090000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100047,[Vigil - Weapons] Sacred Relic Sword,3100000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100048,[Vigil - Weapons] Helphen's Steeple,3130000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100049,[Vigil - Weapons] Blasphemous Blade,3140000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100050,[Vigil - Weapons] Marais Executioner's Sword,3150000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100051,[Vigil - Weapons] Sword of Milos,3160000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100052,[Vigil - Weapons] Golden Order Greatsword,3170000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100053,[Vigil - Weapons] Claymore,3180000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100054,[Vigil - Weapons] Gargoyle's Greatsword,3190000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100055,[Vigil - Weapons] Death's Poker,3200000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100056,[Vigil - Weapons] Gargoyle's Blackblade,3210000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100057,[Vigil - Weapons] Greatsword,4000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100058,[Vigil - Weapons] Watchdog's Greatsword,4010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100059,[Vigil - Weapons] Maliketh's Black Blade,4020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100060,[Vigil - Weapons] Troll's Golden Sword,4030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100061,[Vigil - Weapons] Zweihander,4040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100062,[Vigil - Weapons] Starscourge Greatsword,4050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100063,[Vigil - Weapons] Royal Greatsword,4060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100064,[Vigil - Weapons] Godslayer's Greatsword,4070000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100065,[Vigil - Weapons] Ruins Greatsword,4080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100066,[Vigil - Weapons] Grafted Blade Greatsword,4100000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100067,[Vigil - Weapons] Troll Knight's Sword,4110000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100068,[Vigil - Weapons] Estoc,5000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100069,[Vigil - Weapons] Cleanrot Knight's Sword,5010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100070,[Vigil - Weapons] Rapier,5020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100071,[Vigil - Weapons] Rogier's Rapier,5030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100072,[Vigil - Weapons] Antspur Rapier,5040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100073,[Vigil - Weapons] Frozen Needle,5050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100074,[Vigil - Weapons] Noble's Estoc,5060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100075,[Vigil - Weapons] Bloody Helice,6000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100076,[Vigil - Weapons] Godskin Stitcher,6010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100077,[Vigil - Weapons] Great epee,6020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100078,[Vigil - Weapons] Dragon King's Cragblade,6040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100079,[Vigil - Weapons] Falchion,7000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100080,[Vigil - Weapons] Beastman's Curved Sword,7010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100081,[Vigil - Weapons] Shotel,7020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100082,[Vigil - Weapons] Shamshir,7030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100083,[Vigil - Weapons] Bandit's Curved Sword,7040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100084,[Vigil - Weapons] Magma Blade,7050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100085,[Vigil - Weapons] Flowing Curved Sword,7060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100086,[Vigil - Weapons] Wing of Astel,7070000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100087,[Vigil - Weapons] Scavenger's Curved Sword,7080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100088,[Vigil - Weapons] Eclipse Shotel,7100000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100089,[Vigil - Weapons] Serpent-God's Curved Sword,7110000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100090,[Vigil - Weapons] Mantis Blade,7120000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100091,[Vigil - Weapons] Scimitar,7140000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100092,[Vigil - Weapons] Grossmesser,7150000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100093,[Vigil - Weapons] Onyx Lord's Greatsword,8010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100094,[Vigil - Weapons] Dismounter,8020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100095,[Vigil - Weapons] Bloodhound's Fang,8030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100096,[Vigil - Weapons] Magma Wyrm's Scalesword,8040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100097,[Vigil - Weapons] Zamor Curved Sword,8050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100098,[Vigil - Weapons] Omen Cleaver,8060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100099,[Vigil - Weapons] Monk's Flameblade,8070000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100100,[Vigil - Weapons] Beastman's Cleaver,8080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100101,[Vigil - Weapons] Morgott's Cursed Sword,8100000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100102,[Vigil - Weapons] Uchigatana,9000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100103,[Vigil - Weapons] Nagakiba,9010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100104,[Vigil - Weapons] Hand of Malenia,9020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100105,[Vigil - Weapons] Meteoric Ore Blade,9030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100106,[Vigil - Weapons] Rivers of Blood,9040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100107,[Vigil - Weapons] Moonveil,9060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100108,[Vigil - Weapons] Dragonscale Blade,9070000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100109,[Vigil - Weapons] Serpentbone Blade,9080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100110,[Vigil - Weapons] Twinblade,10000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100111,[Vigil - Weapons] Godskin Peeler,10010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100112,[Vigil - Weapons] Twinned Knight Swords,10030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100113,[Vigil - Weapons] Eleonora's Poleblade,10050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100114,[Vigil - Weapons] Gargoyle's Twinblade,10080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100115,[Vigil - Weapons] Gargoyle's Black Blades,10090000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100116,[Vigil - Weapons] Mace,11000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100117,[Vigil - Weapons] Club,11010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100118,[Vigil - Weapons] Curved Club,11030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100119,[Vigil - Weapons] Warpick,11040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100120,[Vigil - Weapons] Morning Star,11050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100121,[Vigil - Weapons] Varre's Bouquet,11060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100122,[Vigil - Weapons] Spiked Club,11070000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100123,[Vigil - Weapons] Hammer,11080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100124,[Vigil - Weapons] Monk's Flamemace,11090000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100125,[Vigil - Weapons] Envoy's Horn,11100000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100126,[Vigil - Weapons] Scepter of the All-Knowing,11110000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100127,[Vigil - Weapons] Nox Flowing Hammer,11120000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100128,[Vigil - Weapons] Ringed Finger,11130000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100129,[Vigil - Weapons] Stone Club,11140000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100130,[Vigil - Weapons] Marika's Hammer,11150000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100131,[Vigil - Weapons] Large Club,12000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100132,[Vigil - Weapons] Greathorn Hammer,12010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100133,[Vigil - Weapons] Battle Hammer,12020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100134,[Vigil - Weapons] Great Mace,12060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100135,[Vigil - Weapons] Curved Great Club,12080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100136,[Vigil - Weapons] Celebrant's Skull,12130000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100137,[Vigil - Weapons] Pickaxe,12140000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100138,[Vigil - Weapons] Beastclaw Greathammer,12150000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100139,[Vigil - Weapons] Envoy's Long Horn,12160000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100140,[Vigil - Weapons] Cranial Vessel Candlestand,12170000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100141,[Vigil - Weapons] Great Stars,12180000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100142,[Vigil - Weapons] Brick Hammer,12190000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100143,[Vigil - Weapons] Devourer's Scepter,12200000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100144,[Vigil - Weapons] Rotten Battle Hammer,12210000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100145,[Vigil - Weapons] Nightrider Flail,13000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100146,[Vigil - Weapons] Flail,13010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100147,[Vigil - Weapons] Family Heads,13020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100148,[Vigil - Weapons] Bastard's Stars,13030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100149,[Vigil - Weapons] Chainlink Flail,13040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100150,[Vigil - Weapons] Battle Axe,14000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100151,[Vigil - Weapons] Forked Hatchet,14010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100152,[Vigil - Weapons] Hand Axe,14020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100153,[Vigil - Weapons] Jawbone Axe,14030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100154,[Vigil - Weapons] Iron Cleaver,14040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100155,[Vigil - Weapons] Ripple Blade,14050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100156,[Vigil - Weapons] Celebrant's Cleaver,14060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100157,[Vigil - Weapons] Icerind Hatchet,14080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100158,[Vigil - Weapons] Highland Axe,14100000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100159,[Vigil - Weapons] Sacrificial Axe,14110000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100160,[Vigil - Weapons] Rosus' Axe,14120000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100161,[Vigil - Weapons] Stormhawk Axe,14140000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100162,[Vigil - Weapons] Greataxe,15000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100163,[Vigil - Weapons] Warped Axe,15010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100164,[Vigil - Weapons] Great Omenkiller Cleaver,15020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100165,[Vigil - Weapons] Crescent Moon Axe,15030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100166,[Vigil - Weapons] Axe of Godrick,15040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100167,[Vigil - Weapons] Longhaft Axe,15050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100168,[Vigil - Weapons] Rusted Anchor,15060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100169,[Vigil - Weapons] Executioner's Greataxe,15080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100170,[Vigil - Weapons] Winged Greathorn,15110000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100171,[Vigil - Weapons] Butchering Knife,15120000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100172,[Vigil - Weapons] Gargoyle's Great Axe,15130000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100173,[Vigil - Weapons] Gargoyle's Black Axe,15140000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100174,[Vigil - Weapons] Short Spear,16000000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100175,[Vigil - Weapons] Spear,16010000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100176,[Vigil - Weapons] Crystal Spear,16020000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100177,[Vigil - Weapons] Clayman's Harpoon,16030000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100178,[Vigil - Weapons] Cleanrot Spear,16040000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100179,[Vigil - Weapons] Partisan,16050000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100180,[Vigil - Weapons] Celebrant's Rib-Rake,16060000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100181,[Vigil - Weapons] Pike,16070000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100182,[Vigil - Weapons] Torchpole,16080000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100183,[Vigil - Weapons] Bolt of Gransax,16090000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100184,[Vigil - Weapons] Cross-Naginata,16110000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100185,[Vigil - Weapons] Death Ritual Spear,16120000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100186,[Vigil - Weapons] Inquisitor's Girandole,16130000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
9100187,[Vigil - Weapons] Spiked Spear,16140000,0,400000,0,0,-1,0,0,0,0,1,1,-1,-1,-1,-1,-1,[0|0]
